S. No.,Name of Officer,Designation,Department,Zone/Area,Landline
1,"Sh. Sanjeev Kumar Mittal, IAS (AGMUT:2011)",Addl. Commissioner,"Education,Veterinary Services, Land & Estate, Horticulture, Factory Licensing, CL&EC, PM SVANidhi, PM Vishwakarma, Heritage Building & elated matters",Narela Zone & Karol Bagh Zone,"23225552
23225557"
2,"Shri B.S Jaglan IAS
(AGMUT : 2011)",Addl. Commissioner,"Central Establishment, O&M, Corruption/Complaint Cell, Sanjay Gandhi Transport Nagar, Municipal Secretary Office, Labour Welfare and Industrial Realtions.",Najafgarh Zone & West Zone,23225439
3,"Dr Satyendra Singh Dursawat
(AGMUT:2012)",Addl. Commissioner,"Finance (CA-cum-FA) Assessment & Collection, Toll Tax and IT, Remunerative Projects Cell/ Parking, Advertisemnt, AYUSH and Public Health.",South Zone & Central Zone.,23227316
4,"Sh. Arun Kumar Mishra,
(AGUMT : 2012)",Addl. Commissioner,"DEMS Inculding Establishment matters of DEMS, Ease of Doing Business (EODB), Mobile App311, Sameer App, Green App, Nodal Officer (HQs) for LG. Listening Post, CPGRAM, PGMS, Disaster Management, Community Services & Language.",City SP Zone & Civil Line Zone,23225607
5,"Shri. Leela Dhar Meghwal
(IRRS :1997)",Addl. Commissioner,"Engineering including E&M, Building(HQs) Electrical, Architecture, Town Planning, Nodal Officer of Screening Committee and Nodal Officer (Monitoring Committee).",Keshav Puram Zone & Rohini Zone.,"23225651
23225663"
6,"Shri Pankaj Naresh Agrawal
IOFS 2007",Addl. Commissioner,"Hospital Administration, Press & Information, Printing & Stationary, Law, Corporation & Committee (C&C), Election, Hackney Carriage, Headquarter and Training.",Shahdara South Zone & Shahdara North Zone .,23225454