Holidays List,,
List of Gazetted Holidays - 2026,,
26th January,Monday,Republic Day
4th March,Wednesday,Holi
21st March,Saturday,Id-Ul-Fitr
26th March,Thursday,Ram Navami
31st March,Tuesday,Mahavir Jayanti
03rd April,Friday,Good Friday
01st May,Friday,Budha Purnima
27th May,Wednesday,Id-ul-Zuha(Bakrid)
26th June,Friday,Muharram
15th August,Saturday,Independence Day
26th August,Wednesday,Milad-un-Nabi or id-e-milad
04th September,Friday,Janmashtami
02nd October,Friday,Mahatma Gandhi’s Birthday
20th October,Tuesday,Dussehra
26th October,Monday,Maharishi Valmiki Jayanti
08th November,Sunday,Diwali
24th November,Tuesday,Guru Nanak’s Birthday
25th December,Friday,Christmas Day
List of Restricted Holidays - 2026,,
01st January,Thursday,New Year’s Day
03rd January,Saturday,Hazarat Ali’s Birthday
14th January,Wednesday,Makar Sankranti/ Magha Bihu/Pongal
23rd January,Friday,Basant Panchami/Shri Panchami
01st February,Sunday,Guru Ravidas’s Birthday
12th February,Thursday,Swami Dayananda Saraswati Jayanti
15th February,Sunday,Maha Shivratri
19th February,Thursday,Shivaji Jayanti
03rd March,Tuesday,Holika Dahan/ Dol Yatra
19th March,Thursday,Chaitra Sukhladi/ Gudhi Padwa/ Ugadi/ Cheti Chand
20th March,Friday,Jamat-Ul-Vida
05th April,Sunday,Easter
14th April,Tuesday,Vaisakhi/ Vishu/Mesadi (Tamil's New Year)
15th April,Wednesday,Vaisakhadi (Bengal)/ Bahag Bihu (Assam)
09th May,Saturday,Guru Rabindranath’s Birthday
16th July,Thursday,Rath yatra
15th August,Saturday,Parsi New year ‘s day / Nauraj
26th August,Wednesday,Onam or thiru Onam Day
28th August,Friday,Raksha Bandhan
14th September,Monday,Vinayak Chaturthi/ Ganesh Chaturthi
18th October,Sunday,Dussehra (Saptami)
19th October,Monday,Dussehra (Mahashtami)
20th October,Tuesday,Dussehra (Mahanavmi)
29th October,Thursday,Karaka Chaturthi (KarwaChouth)
08th November,Sunday,Naraka Chaturdasi
09th November,Monday,Govardhan Puja
11th November,Wednesday,Bhai Duj
15th November,Sunday,PratiharShashthi or Surya Shashthi (Chhat puja)
24th November,Tuesday,Guru Teg bahadur ‘s Martyrdom Day
23rd December,Wednesday,Hazrat Ali Birthday
24th December,Thursday,Christmas Eve